82540, r, 1, r1, 0x4438bc4162d3bef1, 2022-11-16 19:36:55.854627
82550, r, 3, r3, 0x4af23b08421a8d8e, 2022-11-16 20:17:14.188657
82550, b, 3, b3, 0x4af23b08421a8d8e, 2022-11-16 20:17:14.188657
82550, r, 1, r1, 0x4af23b08421a8d8e, 2022-11-16 20:17:14.210687
82574, r, 3, r3, 0x4af23b08421a8d8e, 2022-11-16 21:16:42.418109
82574, b, 3, b3, 0x4af23b08421a8d8e, 2022-11-16 21:16:42.418109
82574, r, 1, r1, 0x4af23b08421a8d8e, 2022-11-16 21:16:42.441858
82596, r, 3, r3, 0x4af23b08421a8d8e, 2022-11-16 22:07:43.769393
82596, b, 3, b3, 0x4af23b08421a8d8e, 2022-11-16 22:07:43.769393
82596, r, 1, r1, 0x4af23b08421a8d8e, 2022-11-16 22:07:49.909878
82617, r, 3, r3, 0x599eb94327fea3a6, 2022-11-16 23:11:10.041172
82617, b, 3, b3, 0x599eb94327fea3a6, 2022-11-16 23:11:10.041172
82617, r, 1, r1, 0x599eb94327fea3a6, 2022-11-16 23:11:09.991596
82630, r, 3, r3, 0x4438bc4162d3bef1, 2022-11-17 00:15:57.616346
82630, b, 3, b3, 0x4438bc4162d3bef1, 2022-11-17 00:15:57.616346
82630, r, 1, r1, 0x4438bc4162d3bef1, 2022-11-17 00:15:57.579384
82657, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-17 01:22:54.024394
82657, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-17 01:22:54.024394
82657, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-17 01:22:54.06988
82675, r, 3, r3, 0x68b6555173d35a73, 2022-11-17 02:11:40.021422
82675, b, 3, b3, 0x68b6555173d35a73, 2022-11-17 02:11:40.021422
82675, r, 1, r1, 0x68b6555173d35a73, 2022-11-17 02:11:40.027015
82700, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-17 03:34:58.17715
82700, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-17 03:34:58.182128
82700, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-17 03:35:04.297808
82719, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-17 05:37:20.060083
82719, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-17 05:37:20.060083
82719, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-17 05:37:26.298145
82832, r, 3, r3, 0x11367b45d4458837, 2022-11-17 21:04:36.73675
82832, b, 3, b3, 0x11367b45d4458837, 2022-11-17 21:04:36.73675
82832, r, 1, r1, 0x11367b45d4458837, 2022-11-17 21:04:36.683378
82837, r, 3, r3, 0x11367b45d4458837, 2022-11-17 21:12:06.839447
82837, b, 3, b3, 0x11367b45d4458837, 2022-11-17 21:12:06.839447
82837, r, 1, r1, 0x11367b45d4458837, 2022-11-17 21:12:06.889904
82859, r, 3, r3, 0x6b693dfb45917687, 2022-11-17 22:11:30.628678
82859, b, 3, b3, 0x6b693dfb45917687, 2022-11-17 22:11:30.628678
82859, r, 1, r1, 0x6b693dfb45917687, 2022-11-17 22:11:36.789814
82897, r, 3, r3, 0x11367b45d4458837, 2022-11-17 23:14:38.55598
82897, b, 3, b3, 0x11367b45d4458837, 2022-11-17 23:14:38.55598
82897, r, 1, r1, 0x11367b45d4458837, 2022-11-17 23:14:44.659426
82905, r, 3, r3, 0x73f616e18cd1c54e, 2022-11-18 00:14:20.550022
82905, b, 3, b3, 0x73f616e18cd1c54e, 2022-11-18 00:14:20.550022
82905, r, 1, r1, 0x73f616e18cd1c54e, 2022-11-18 00:14:26.765332
82916, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-18 01:13:07.164829
82916, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-18 01:13:07.164829
82916, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-18 01:13:13.367771
82934, r, 3, r3, 0x52e09b38217b0a7a, 2022-11-18 02:14:22.114343
82934, b, 3, b3, 0x52e09b38217b0a7a, 2022-11-18 02:14:22.114343
82934, r, 1, r1, 0x52e09b38217b0a7a, 2022-11-18 02:14:28.254139
82938, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-18 18:08:10.188083
82938, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-18 18:08:10.071538
82938, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-18 18:08:16.339283
82939, r, 3, r3, 0x35c5abe82f6a5ed0, 2022-11-18 18:33:27.747436
82939, b, 3, b3, 0x35c5abe82f6a5ed0, 2022-11-18 18:33:27.747436
82939, r, 1, r1, 0x35c5abe82f6a5ed0, 2022-11-18 18:33:33.89289
82946, r, 3, r3, 0x11367b45d4458837, 2022-11-18 19:47:34.335992
82946, b, 3, b3, 0x11367b45d4458837, 2022-11-18 19:47:34.335992
82946, r, 1, r1, 0x11367b45d4458837, 2022-11-18 19:47:34.289861
82957, r, 3, r3, 0x4438bc4162d3bef1, 2022-11-18 20:29:10.649389
82957, b, 3, b3, 0x4438bc4162d3bef1, 2022-11-18 20:29:10.649389
82957, r, 1, r1, 0x4438bc4162d3bef1, 2022-11-18 20:29:10.612421
82973, r, 3, r3, 0x3bd7841465d4fceb, 2022-11-18 21:11:50.657095
82973, b, 3, b3, 0x3bd7841465d4fceb, 2022-11-18 21:11:50.657095
82973, r, 1, r1, 0x3bd7841465d4fceb, 2022-11-18 21:11:50.608584
82989, r, 3, r3, 0x45a7576f8fa47285, 2022-11-18 23:55:39.56096
82989, b, 3, b3, 0x45a7576f8fa47285, 2022-11-18 23:55:39.56096
82989, r, 1, r1, 0x45a7576f8fa47285, 2022-11-18 23:55:39.513023
82994, r, 3, r3, 0x45a7576f8fa47285, 2022-11-19 00:25:56.241877
82994, b, 3, b3, 0x45a7576f8fa47285, 2022-11-19 00:25:56.241877
82994, r, 1, r1, 0x45a7576f8fa47285, 2022-11-19 00:25:56.234154
83006, r, 3, r3, 0xefd494bc85d62ff, 2022-11-19 01:10:53.265064
83006, b, 3, b3, 0xefd494bc85d62ff, 2022-11-19 01:10:53.265064
83006, r, 1, r1, 0xefd494bc85d62ff, 2022-11-19 01:10:59.4157
83024, r, 3, r3, 0x45a7576f8fa47285, 2022-11-19 02:34:24.076534
83024, b, 3, b3, 0x45a7576f8fa47285, 2022-11-19 02:34:24.134624
83024, r, 1, r1, 0x45a7576f8fa47285, 2022-11-19 02:34:30.241787
83030, r, 3, r3, 0x68a3a7d9551e4328, 2022-11-19 03:16:00.752543
83030, b, 3, b3, 0x68a3a7d9551e4328, 2022-11-19 03:16:00.752543
83030, r, 1, r1, 0x68a3a7d9551e4328, 2022-11-19 03:16:06.913633
83129, r, 3, r3, 0x13813d05fc96ed55, 2022-11-20 19:04:52.702692
83129, b, 3, b3, 0x13813d05fc96ed55, 2022-11-20 19:04:52.702692
83129, r, 1, r1, 0x13813d05fc96ed55, 2022-11-20 19:04:52.761899
83410, r, 3, r3, 0x7fd90716c76a1446, 2022-11-25 02:48:13.670787
84163, r, 3, r3, 0x7fd90716c76a1446, 2022-12-16 17:17:06.058066
84163, b, 3, b3, 0x7fd90716c76a1446, 2022-12-16 17:17:06.023
84163, r, 1, r1, 0x7fd90716c76a1446, 2022-12-16 17:17:12.236199
84166, b, 3, b3, 0x7fd90716c76a1446, 2022-12-16 17:25:06.137494
84166, r, 1, r1, 0x7fd90716c76a1446, 2022-12-16 17:25:12.670737
84166, b, 1, b1, 0x7fd90716c76a1446, 2022-12-16 17:25:12.308299
84168, r, 3, r3, -0x270f, 2022-12-17 19:50:23.931588
84168, b, 3, b3, -0x270f, 2022-12-17 19:50:23.871866
84168, r, 1, r1, -0x270f, 2022-12-17 19:50:30.080282
84169, b, 1, b1, -0x270f, 2022-12-17 20:01:22.244884
84170, b, 3, b3, -0x270f, 2022-12-17 20:18:25.503711
