pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
81443,r,3,-9999,2022-11-07 22:23:02.660257
81444,b,3,-9999,2022-11-07 22:28:51.890596
81444,r,3,-9999,2022-11-07 22:28:51.941565
81445,b,3,-9999,2022-11-07 22:34:41.043729
81445,r,3,-9999,2022-11-07 22:34:41.123577
81446,b,3,-9999,2022-11-07 22:40:30.268768
81446,r,3,-9999,2022-11-07 22:40:30.326781
81447,b,3,-9999,2022-11-07 22:46:19.422568
81447,r,3,-9999,2022-11-07 22:46:19.486601
81448,b,3,-9999,2022-11-07 22:52:08.714689
81448,r,3,-9999,2022-11-07 22:52:08.764098
81449,b,3,-9999,2022-11-07 22:57:58.019807
81449,r,3,-9999,2022-11-07 22:57:58.012669
81450,b,3,-9999,2022-11-07 23:03:46.880539
81450,r,3,-9999,2022-11-07 23:03:46.974085
81451,b,3,-9999,2022-11-07 23:09:35.856973
81451,r,3,-9999,2022-11-07 23:09:35.942373
81452,b,3,-9999,2022-11-07 23:15:25.034365
81452,r,3,-9999,2022-11-07 23:15:25.023288
81453,b,3,-9999,2022-11-07 23:21:14.481876
81453,r,3,-9999,2022-11-07 23:21:14.424733
81454,b,3,-9999,2022-11-07 23:27:03.867971
81454,r,3,-9999,2022-11-07 23:27:04.029899
81455,b,3,-9999,2022-11-07 23:32:52.936211
81455,r,3,-9999,2022-11-07 23:32:53.091226
81456,b,3,-9999,2022-11-07 23:38:41.973601
81456,r,3,-9999,2022-11-07 23:38:42.111023
81457,b,3,-9999,2022-11-08 00:54:01.874925
81457,r,3,-9999,2022-11-08 00:54:01.967009
81458,b,3,-9999,2022-11-08 00:54:50.903591
81458,r,3,-9999,2022-11-08 00:54:50.97541
81459,b,3,-9999,2022-11-08 00:55:40.240279
81459,r,3,-9999,2022-11-08 00:55:40.289507
81460,b,3,-9999,2022-11-08 00:56:29.4764
81460,r,3,-9999,2022-11-08 00:56:29.397278
81461,b,3,-9999,2022-11-08 00:57:18.420626
81461,r,3,-9999,2022-11-08 00:57:18.520404
81462,b,3,-9999,2022-11-08 00:58:07.552478
81462,r,3,-9999,2022-11-08 00:58:07.637742
81463,b,3,-9999,2022-11-08 00:58:56.485344
81463,r,3,-9999,2022-11-08 00:58:56.560421
81464,b,3,-9999,2022-11-08 00:59:45.617246
81464,r,3,-9999,2022-11-08 00:59:45.685912
81465,b,3,-9999,2022-11-08 01:00:34.543685
81465,r,3,-9999,2022-11-08 01:00:34.70884
81466,b,3,-9999,2022-11-08 01:01:23.564778
81466,r,3,-9999,2022-11-08 01:01:23.625748
81467,b,3,-9999,2022-11-08 01:02:12.59345
81467,r,3,-9999,2022-11-08 01:02:12.745059
81468,b,3,-9999,2022-11-08 01:03:01.924138
81468,r,3,-9999,2022-11-08 01:03:01.968468
81469,b,3,-9999,2022-11-08 01:03:51.247978
81469,r,3,-9999,2022-11-08 01:03:51.291238
81470,b,3,-9999,2022-11-08 01:04:40.375422
81470,r,3,-9999,2022-11-08 01:04:40.412059
81471,b,3,-9999,2022-11-08 01:05:29.502753
81471,r,3,-9999,2022-11-08 01:05:29.436042
81472,b,3,-9999,2022-11-08 01:06:21.03596
81472,r,3,-9999,2022-11-08 01:06:21.058712
81473,b,3,-9999,2022-11-08 01:12:10.315912
81473,r,3,-9999,2022-11-08 01:12:10.316515
81474,b,3,-9999,2022-11-08 01:17:59.686482
81474,r,3,-9999,2022-11-08 01:17:59.675373
81475,b,3,-9999,2022-11-08 01:23:48.858627
81475,r,3,-9999,2022-11-08 01:23:48.938487
81476,b,3,-9999,2022-11-08 01:29:37.867083
81476,r,3,-9999,2022-11-08 01:29:38.021398
81477,b,3,-9999,2022-11-08 01:35:27.216547
81477,r,3,-9999,2022-11-08 01:35:27.285428
81478,b,3,-9999,2022-11-08 01:41:16.474351
81478,r,3,-9999,2022-11-08 01:41:16.415442
81479,b,3,-9999,2022-11-08 01:47:05.542093
81479,r,3,-9999,2022-11-08 01:47:05.644451
81480,b,3,-9999,2022-11-08 01:52:55.054766
81480,r,3,-9999,2022-11-08 01:52:55.002633
81481,b,3,-9999,2022-11-08 01:58:44.71309
81481,r,3,-9999,2022-11-08 01:58:44.717001
81482,b,3,-9999,2022-11-08 02:04:33.862219
81482,r,3,-9999,2022-11-08 02:04:33.932359
81483,b,3,-9999,2022-11-08 02:10:23.038505
81483,r,3,-9999,2022-11-08 02:10:23.096063
81484,b,3,-9999,2022-11-08 02:16:12.210961
