84599, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:48:49.021907
84599, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:48:55.167324
84600, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:55:44.379026
84600, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:55:44.336111
84600, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:55:50.553051
84601, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:02:39.92044
84601, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:02:39.953327
84601, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:02:46.154443
84602, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:09:35.254626
84602, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:09:35.328382
84602, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:09:41.484702
84603, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:16:30.719188
84603, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:16:30.738642
84603, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:16:36.904844
84604, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:23:26.012345
84604, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:23:25.988687
84604, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:23:32.167001
84605, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:30:21.405891
84605, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:30:21.433877
84605, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:30:27.542984
84606, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:37:16.807015
84606, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:37:16.804318
84606, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:37:22.956238
84607, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:44:12.003161
84607, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:44:11.906667
84607, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:44:18.126582
84608, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:51:07.143902
84608, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:51:07.105265
84608, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:51:13.306278
84609, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:05:14.876024
84609, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:05:14.90363
84609, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:05:21.001662
84610, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:06:10.277115
84610, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:06:10.279298
84610, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:06:16.455641
84611, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:07:05.784544
84611, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:07:05.847229
84611, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:07:11.907117
84612, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:08:02.585203
84612, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:08:02.613013
84612, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:08:08.752056
84613, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:11:27.793571
84613, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:11:27.799999
84613, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:11:33.906777
84614, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 10:14:53.035141
84614, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 10:14:53.087366
84614, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 10:14:59.202554
84615, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:00:14.17728
84615, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:00:14.171759
84615, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:00:20.366519
84616, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:01:15.759201
84616, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:01:15.844606
84616, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:01:22.029575
84617, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:02:11.55914
84617, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:02:11.620438
84617, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:02:17.737
84618, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:03:09.652558
84618, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:03:09.501656
84618, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:03:15.769757
84619, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:06:35.528325
84619, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:06:35.539176
84619, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:06:41.623271
84620, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 12:10:00.999895
84620, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 12:10:00.972109
84620, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 12:10:07.188491
84621, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:00:15.056942
84621, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:00:15.077779
84621, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:00:21.173433
84622, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:01:10.354116
84622, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:01:10.250702
84622, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:01:16.541594
84623, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:02:05.562298
84623, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:02:05.621722
84623, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:02:11.774456
84624, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:03:02.158512
84624, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:03:02.193368
84624, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:03:08.323628
84625, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:06:27.62844
84625, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:06:27.714016
84625, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:06:33.799168
84626, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 14:09:52.995032
84626, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 14:09:52.953207
84626, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 14:09:59.175934
84627, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:00:14.851038
84627, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:00:14.786762
84627, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:00:21.078748
84628, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:01:10.366123
84628, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:01:10.376003
84628, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:01:16.540344
84629, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:02:05.98282
84629, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:02:05.955913
84629, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:02:12.217635
84630, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:03:02.586142
84630, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:03:02.538284
84630, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:03:08.827013
84631, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:06:28.070396
84631, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:06:28.075568
84631, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:06:34.197971
84632, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 16:09:53.466725
84632, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 16:09:53.531917
84632, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 16:09:59.641392
84666, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:00:14.54565
84666, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:00:14.494961
