  NA/angin,        0.0,        6.0,       12.0,       18.0,       24.0,       30.0,       36.0,       42.0
    0.1623,     1.0534,     0.9608,     0.7083,     0.6189,     0.5834,     0.5433,     0.5020,     0.4694
    0.1655,     1.0519,     0.8604,     0.6485,     0.5862,     0.5575,     0.5285,     0.4937,     0.4629
    0.1687,     0.9237,     0.7441,     0.5983,     0.5563,     0.5382,     0.5096,     0.4748,     0.4500
    0.1719,     0.6976,     0.5995,     0.5322,     0.5123,     0.4994,     0.4821,     0.4618,     0.4406
    0.1752,     0.4489,     0.4286,     0.4147,     0.4084,     0.4083,     0.4173,     0.4195,     0.4167
    0.1784,     0.2059,     0.2770,     0.2855,     0.2900,     0.2953,     0.3121,     0.3664,     0.3866
    0.1816,     0.0293,     0.1451,     0.1641,     0.1706,     0.1765,     0.2071,     0.2780,     0.3419
    0.1848,     0.0000,     0.0511,     0.0636,     0.0704,     0.0777,     0.1054,     0.1817,     0.2919
    0.1880,     0.0000,     0.0032,     0.0058,     0.0077,     0.0100,     0.0320,     0.1005,     0.2202
    0.1912,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0034,     0.0405,     0.1473
    0.1944,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0077,     0.0886
    0.1977,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0423
    0.2009,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0116
    0.2041,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2073,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2105,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2137,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2169,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2202,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2234,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2266,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2298,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2330,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2362,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2394,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2427,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2459,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2491,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
    0.2523,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
Mvtra> less subarusb.csv 

Mvtra> edit subaru.csv 
Mvtra> 
edit subarusb.csv 
Mvtra> pwd  /home/jeg/mirella/mirvtra
Mvtra> 
